Date,Country,Confirmed,Recovered,Deceased
30-01-2020,India,1,0,0
02-02-2020,India,2,0,0
03-02-2020,India,3,0,0
14-02-2020,India,3,3,0
02-03-2020,India,5,3,0
03-03-2020,India,6,3,0
04-03-2020,India,28,3,0
05-03-2020,India,30,3,0
06-03-2020,India,31,3,0
07-03-2020,India,34,3,0
08-03-2020,India,39,3,0
09-03-2020,India,48,3,0
10-03-2020,India,63,3,0
11-03-2020,India,71,3,0
12-03-2020,India,81,3,0
13-03-2020,India,91,3,1
14-03-2020,India,102,3,1
15-03-2020,India,112,3,1
16-03-2020,India,126,3,1
17-03-2020,India,146,3,1
18-03-2020,India,171,3,1
19-03-2020,India,198,3,1
20-03-2020,India,256,4,1
21-03-2020,India,334,4,1
22-03-2020,India,403,4,1
23-03-2020,India,497,4,1
24-03-2020,India,571,6,1
25-03-2020,India,657,6,1
26-03-2020,India,730,6,2
27-03-2020,India,883,8,3
28-03-2020,India,1019,8,3
29-03-2020,India,1139,99,28
30-03-2020,India,1326,141,41
31-03-2020,India,1635,160,47
01-04-2020,India,2059,169,58
02-04-2020,India,2545,191,69
03-04-2020,India,3105,230,83
04-04-2020,India,3684,286,96
05-04-2020,India,4293,329,118
06-04-2020,India,4777,394,134
07-04-2020,India,5350,469,161
08-04-2020,India,5915,565,181
09-04-2020,India,6728,635,227
10-04-2020,India,7599,786,249
11-04-2020,India,8453,972,290
12-04-2020,India,9211,1086,332
13-04-2020,India,10454,1198,359
14-04-2020,India,11485,1365,396
15-04-2020,India,12371,1509,423
16-04-2020,India,13432,1767,449
17-04-2020,India,14354,2040,487
18-04-2020,India,15725,2466,522
19-04-2020,India,17305,2854,560
20-04-2020,India,18544,3273,593
21-04-2020,India,20081,3976,646
22-04-2020,India,21373,4370,682
23-04-2020,India,23040,5012,722
24-04-2020,India,24448,5496,781
25-04-2020,India,26283,5938,825
26-04-2020,India,27890,6523,881
27-04-2020,India,29458,7103,939
28-04-2020,India,31360,7739,1008
29-04-2020,India,33065,8429,1079
30-04-2020,India,34867,9059,1154
01-05-2020,India,37263,10021,1231
02-05-2020,India,39827,10852,1323
03-05-2020,India,42779,11763,1463
04-05-2020,India,46435,12845,1566
05-05-2020,India,49406,14140,1694
06-05-2020,India,53008,15301,1785
07-05-2020,India,56352,16776,1889
08-05-2020,India,59691,17887,1986
09-05-2020,India,62866,19301,2102
10-05-2020,India,67177,20970,2214
11-05-2020,India,70769,22549,2295
12-05-2020,India,74331,24454,2415
13-05-2020,India,78057,26417,2552
14-05-2020,India,82048,28011,2649
15-05-2020,India,85856,30245,2753
16-05-2020,India,90650,34257,2873
17-05-2020,India,95699,36795,3025
18-05-2020,India,100327,39277,3156
19-05-2020,India,106481,42309,3302
20-05-2020,India,112201,45422,3436
21-05-2020,India,118224,48553,3584
22-05-2020,India,124760,51833,3726
23-05-2020,India,131425,54409,3868
24-05-2020,India,138536,57694,4024
25-05-2020,India,144950,60706,4173
26-05-2020,India,150857,64291,4346
27-05-2020,India,158103,67725,4534
28-05-2020,India,165357,70896,4710
29-05-2020,India,173495,82631,4978
30-05-2020,India,181859,86934,5183
31-05-2020,India,190648,91862,5405
01-06-2020,India,198371,95744,5606
02-06-2020,India,207183,100275,5828
03-06-2020,India,216872,104064,6087
04-06-2020,India,226719,108454,6361
05-06-2020,India,236191,113225,6647
06-06-2020,India,246599,118658,6944
07-06-2020,India,257481,123849,7205
08-06-2020,India,266017,129020,7476
09-06-2020,India,275998,134654,7748
10-06-2020,India,287154,140929,8106
11-06-2020,India,298289,146973,8500
12-06-2020,India,309595,154236,8888
13-06-2020,India,321634,162327,9197
14-06-2020,India,333038,169685,9521
15-06-2020,India,343070,180325,9917
16-06-2020,India,354155,187551,11921
17-06-2020,India,367263,194441,12262
18-06-2020,India,381092,205182,12605
19-06-2020,India,395832,214211,12969
20-06-2020,India,411750,228185,13277
21-06-2020,India,426901,237260,13703
22-06-2020,India,440461,248139,14015
23-06-2020,India,456117,258601,14483
24-06-2020,India,472985,271690,14907
25-06-2020,India,491190,285673,15308
26-06-2020,India,509445,295919,15689
27-06-2020,India,529587,310148,16103
28-06-2020,India,549197,321779,16487
29-06-2020,India,567536,335276,16904
30-06-2020,India,585792,347841,17410
01-07-2020,India,605221,359905,17848
02-07-2020,India,627168,379904,18226
03-07-2020,India,649886,394321,18670
04-07-2020,India,673904,409067,19281
05-07-2020,India,697846,424896,19702
06-07-2020,India,720346,440211,20175
07-07-2020,India,743491,457049,20654
08-07-2020,India,769052,476557,21146
09-07-2020,India,794842,495965,21625
10-07-2020,India,822591,516254,22145
11-07-2020,India,850348,536235,22686
12-07-2020,India,879454,554433,23183
13-07-2020,India,907632,572116,23724
14-07-2020,India,937549,593092,24306
15-07-2020,India,970156,613738,24920
16-07-2020,India,1005624,636605,25600
17-07-2020,India,1040448,654091,26276
18-07-2020,India,1077859,677673,26819
19-07-2020,India,1118094,700403,27494
20-07-2020,India,1154900,724706,28090
21-07-2020,India,1194070,752295,28761
22-07-2020,India,1239671,784170,29891
23-07-2020,India,1288114,817496,30646
24-07-2020,India,1337002,850010,31409
25-07-2020,India,1387074,887135,32112
26-07-2020,India,1436006,918647,32816
27-07-2020,India,1482490,953001,33458
28-07-2020,India,1532121,988684,34232
29-07-2020,India,1584600,1021570,35007
30-07-2020,India,1639568,1058995,35791
31-07-2020,India,1697054,1095549,36556
01-08-2020,India,1752171,1146917,37410
02-08-2020,India,1804843,1187272,38170
03-08-2020,India,1855332,1230342,38976
04-08-2020,India,1906614,1281562,39825
05-08-2020,India,1963240,1327145,40744
06-08-2020,India,2025410,1377286,41643
07-08-2020,India,2086865,1427673,42579
08-08-2020,India,2152021,1479808,43454
09-08-2020,India,2214138,1534282,44467
10-08-2020,India,2267154,1581644,45354
11-08-2020,India,2328406,1638105,46189
